"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v3_Female_q15",383,20,126,0,158,0,60,186,0,126,83,36,57,33,39,26,0,8,0,391,48,0,0,20,0,7,0,0,5,0,5,0,11,0,28,13,0,0,25,0,0
"v4_Female_q15",480,27,216,0,184,0,56,301,0,215,107,52,87,106,50,45,0,11,0,508,54,6,0,76,0,13,0,5,0,0,7,0,28,0,84,15,0,0,73,0,6
"v3_Female_q16",338,14,119,0,144,0,54,160,0,120,67,42,43,28,34,27,0,0,0,422,38,0,0,16,0,0,0,0,0,0,0,0,6,0,21,0,0,0,18,0,0
"v4_Female_q16",416,18,186,0,177,5,87,208,0,172,88,43,75,120,32,40,0,12,0,533,57,0,0,77,0,9,0,0,0,0,11,0,20,0,91,16,0,0,37,0,0
"v3_Female_q17",257,10,77,0,109,0,48,124,0,95,54,55,37,20,33,21,0,8,0,324,28,0,0,12,0,0,0,0,0,0,0,0,0,0,10,5,0,0,9,0,0
"v4_Female_q17",314,31,130,0,120,0,66,164,0,147,74,44,50,77,30,32,0,9,0,401,35,0,0,37,0,5,0,6,0,0,0,0,12,0,76,11,0,0,27,0,0
"v3_Female_q18",91,0,16,0,38,0,19,50,0,19,20,21,14,10,11,13,0,0,0,101,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Female_q18",300,14,106,0,130,0,52,134,0,90,65,48,38,57,29,23,0,6,0,410,34,0,0,25,0,0,0,5,0,0,0,0,5,0,60,0,0,0,17,0,0
"v3_Female_q19",40,0,10,0,13,0,0,28,0,14,9,6,6,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Female_q19",143,6,56,0,54,0,25,58,0,37,29,15,16,34,10,14,0,0,0,198,15,0,0,8,0,0,0,0,0,0,0,0,0,0,21,0,0,0,11,0,0
"v3_Female_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Female_q20",102,0,17,0,35,0,24,30,0,22,10,11,12,9,10,11,0,5,0,127,10,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0
"v3_Most_deprived_q1",2910,100,843,7,1489,80,133,3463,65,930,978,310,491,177,276,277,268,101,0,1253,510,11,0,95,0,6,0,6,64,0,0,0,7,0,18,0,0,0,11,0,0
"v4_Most_deprived_q1",2704,99,697,6,1442,72,126,3088,63,873,835,227,498,156,260,239,287,79,0,1115,504,7,0,58,0,6,0,5,59,0,0,0,0,0,9,0,0,0,7,0,0
"v3_Most_deprived_q2",4464,142,1493,12,2083,65,298,3473,61,1212,1110,422,853,420,470,388,225,99,0,2141,702,14,0,176,0,22,0,14,148,0,0,6,22,0,34,12,0,0,32,0,7
"v4_Most_deprived_q2",4065,110,1400,12,1887,69,203,3153,57,1100,1051,337,761,339,431,331,171,99,0,1790,623,15,0,169,0,13,0,10,95,0,0,6,16,0,24,0,0,0,15,0,6
"v3_Most_deprived_q3",3094,92,1228,14,1328,65,265,2023,47,779,803,300,575,336,336,226,65,81,0,1797,442,8,0,176,0,15,0,11,88,0,0,0,30,0,50,20,0,0,28,0,0
"v4_Most_deprived_q3",2745,72,1117,10,1211,48,205,1823,42,716,785,255,514,279,272,205,74,57,0,1580,360,9,0,140,0,11,0,9,69,0,0,0,14,0,42,9,0,0,22,0,5
"v3_Most_deprived_q4",1479,51,712,0,623,17,128,936,24,367,355,153,278,183,148,110,22,21,0,997,206,8,0,91,0,6,0,8,22,0,0,0,15,0,40,25,0,0,18,0,0
"v4_Most_deprived_q4",1888,78,810,9,773,28,176,1249,25,463,420,193,363,183,201,146,31,41,0,1078,254,6,0,101,0,10,0,10,48,0,0,0,9,0,17,8,0,0,16,0,0
"v3_Most_deprived_q5",1457,56,721,0,653,15,147,954,21,424,316,165,276,217,159,112,13,29,0,995,175,0,0,102,0,5,0,0,24,0,6,0,35,0,57,28,0,0,31,0,0
"v4_Most_deprived_q5",1532,52,733,0,643,26,159,1019,27,406,320,178,284,180,168,110,29,32,0,1041,195,0,0,105,0,5,0,8,39,0,0,0,12,0,31,11,0,0,28,0,0
